#ID,shape,EnergyAt2A,SkipAlign,PMFAlignTarget,SkipPMF,source,ssdType,ionconc
AuFCC100,plane,35,0,35,0,0,0,0
CdSeWurtzite2-10,plane,35,0,44,0,0,0,0
CNT15,cylinder,35,0,35,0,0,0,0.15
TiO2-ana-100,plane,35,0,35,0,0,1,0.15
CNT15-COOH-30,cylinder,35,0,35,0,0,0,0.15
CNT15-COOH-3,cylinder,35,0,35,0,0,0,0.15
CNT15-COO--10,cylinder,35,0,35,0,0,0,0.15
CNT15-COO--3,cylinder,35,0,35,0,0,0,0.15
CNT15-NH2-14,cylinder,35,0,35,0,0,0,0.15
CNT15-NH2-2,cylinder,35,0,35,0,0,0,0.15
CNT15-NH3+-4,cylinder,35,0,35,0,0,0,0.15
CNT15-NH3+-2,cylinder,35,0,35,0,0,0,0.15
CNT15-OH-14,cylinder,35,0,35,0,0,0,0.15
CNT15-OH-4,cylinder,35,0,35,0,0,0,0.15
graphene,plane,35,0,35,0,0,0,0.15
bi-graphene,plane,35,0,35,0,0,0,0.15
tri-graphene,plane,35,0,35,0,0,0,0.15
grapheneoxide,plane,35,0,35,0,0,0,0.15
redgrapheneoxide,plane,35,0,35,0,0,0,0.15
C-amorph-2,plane,35,0,7.5,0,0,1,0.15
Fe2O3-001O,plane,35,0,35,0,0,1,?
SiO2-Quartz,plane,35,0,10,0,0,1,?
SiO2-Amorphous,plane,35,0,10,0,0,1,?
TiO2-rut-110,plane,35,0,35,0,0,1,0.15
TiO2-rut-100,plane,35,0,35,0,0,1,0.15
Ag111,plane,35,0,35,0,1,2,0.15
Ag110,plane,35,0,35,0,1,2,0.15
Ag100,plane,35,0,35,0,1,2,0.15
AlFCC100UCD,plane,35,0,35,0,2,2,0.1
AlFCC110UCD,plane,35,0,35,0,2,2,0.1
AlFCC111UCD,plane,35,0,35,0,2,2,0.1
TiO2-ana-101,plane,35,0,35,0,0,1,0.15
AuFCC100UCD,plane,35,0,35,0,1,2,0.15
AuFCC110UCD,plane,35,0,35,0,1,2,0.15
AuFCC111UCD,plane,35,0,35,0,1,2,0.15
